when	phase	unit	decision / hypothesis	evidence	verdict
2026-08-25	A	frame	Bake this week's teacher material in. Done = tests/tsc/lint/build green + live browser proof of text-structure lesson, word-form drill, math vocab. Rigor high: wrong answer keys teach a child wrong.	docs/run-trail-2026-08-25.tsv	OPEN
2026-08-25	A	ground	Teacher docx = 5 nonfiction passages, one per text structure. Teacher pdf = paragraph frames for the same 5 patterns (Keys to Literacy). Newsletter: reading=text structure, math=unit/standard/word/expanded form, science=plant structures, writing=simple/compound/complex sentences.	Text_Structure_Passages.docx via zipfile+regex; PDF rendered with pypdfium2 at scale 2.2, 5 pages read as images	VERIFIED
2026-08-25	A	ground	His worksheets: standard form 12/12, expanded form 11/12 (98,100 -> wrote 90,060 not 90,000), WORD FORM ~0/20. Consistent substitutions fefte=fifty, therte=thirty, sexte=sixty, ghate=eighty, ninel=ninety, twene=twenty, "ay tene"=eighteen. Also 81 -> "ghate five" (wrong number, not just spelling).	three worksheet photos supplied by the parent	VERIFIED
2026-08-25	B	plan	U1 number-words (riskiest: grading his misspellings usefully) -> U2 math skill number-forms -> U3 text-structure content -> U4 lesson surface -> U5 math vocab + sentence types. Fable does U3/U5 in parallel; I own U1/U2 and audit everything.	this file	OPEN
2026-08-25	B	copyright	Use the teacher's 5 passages (given for his use) and the pattern names + signal words (facts). Do NOT reproduce the Keys to Literacy worksheet layout — write our own frames. Same rule applied to the i-Ready workbooks earlier.	docs/curriculum-fps-grade4.md precedent	OPEN
2026-08-25	A	parent	"Nour retains vocab only by repetition, even math vocab ... his spelling is poor, so more repetitions." Saved as a durable memory; drives U6 (a missed word returns several times per session, spaced).	memory/nour-learns-by-repetition.md	OPEN
2026-08-25	C	audit	Parent: he does place value a lot and sees the same problem type. genPlaceValue level 1 has exactly 3 shapes (digit value, expanded, ten-times) and NO word form or unit form anywhere in the skill — the two forms school is teaching this week.	lib/math/skills.ts:754-769	VERIFIED
2026-08-25	C	audit	Parent is fine with repetition IF progress lands on clean mastery. Up-rule (3 straight >=90%) is therefore right and stays. Down-rule demotes on ONE session under 60%, so a single off-day erases a run — reading uses 2 in a row. Making math match is U7.	lib/models/MathProgress.ts nextLevel	OPEN
2026-08-25	C	U1	lib/number-words.ts: toWords/fromWords/expanded/unit + hintFor naming his exact substitutions. 12 tests incl. exhaustive 0-999 round trip.	npx tsx --test lib/__tests__/number-words.test.ts	VERIFIED
2026-08-25	C	U2	new math skill "number-forms" (word->standard, expanded->standard, unit->standard, how-many-units). Placed in unit 1 and i-Ready lessons 1-2, so it surfaces on the school card this week.	600 generated questions pass the existing quality contract (prompt<=80, whole answers)	VERIFIED
2026-08-25	C	audit	Independently re-extracted the teacher docx and diffed it against the agent's module: 5/5 passages byte-identical, every declared signal word findable, 44/44 pack words pass the app regex, 0 clues leak their own word.	throwaway tsx audit script over lib/text-structure.ts + lib/word-packs.ts	VERIFIED
2026-08-25	C	U7	Demote now needs TWO rounds under 60, not one — he grinds a skill for days and one off afternoon wiped the run AND cleared the window. Up-rule (3 straight >=90%) unchanged, per the parent: repetition is fine if progress lands on clean mastery.	lib/models/MathProgress.ts + tests	VERIFIED
2026-08-25	C	U8	Math cards now show "n of 3 clean rounds to level 2" so the grinding has a visible target.	app/math/page.tsx, cleanRounds()	OPEN
2026-08-25	C	audit	Parent asked whether the daily quest covers the week. It did NOT: beats were review, new words, reading, production — all vocab plus reading. No math beat at all, no writing, science only as word-list vocabulary. His 6 days of activity confirm math happened ad hoc, and on 08-20 and 08-24 he did no reading.	Profile.activity grouped by day, live Atlas	VERIFIED
2026-08-25	C	U9	Added a Math beat pointed at the i-Ready lesson school is on today, plus the Text structure beat. sentence-combine (this term's writing objective) had a complete builder that NOTHING ever called — wired into the production beat.	app/page.tsx, lib/lesson-builder.ts	OPEN
2026-08-25	C	U10	Parent: he needs the MEANING of the lesson name itself. New "Lesson Words" pack (26 terms pulled from MATH_SKILLS + the 34 i-Ready lesson titles): rounding, quotient, numerator, perimeter, symmetry, quadrilateral...	lib/word-packs.ts	VERIFIED
2026-08-25	C	U11	Math beat rotated across the lesson's skills by date, so it does not hand him Place Value every single day — the exact rut the parent reported.	app/page.tsx; 2026-08-25 Number Forms, 08-26 Place Value, 08-27 Number Forms	VERIFIED
2026-08-25	E	gates	229 tests pass, tsc clean, eslint 5 errors = unchanged pre-existing baseline, next build compiles, /learn/structure and /math/number-forms both resolve (307 to login, not 404).	npm test / tsc / eslint / build / curl	VERIFIED
2026-08-25	E	open	Live in-browser click-through NOT done: the dev app asks for the parent PIN and that is the parent's to type. Everything else verified headlessly against real generated output.	-	NOT VERIFIED
2026-08-25	E	functional	Drove the running app signed in: home shows 6 beats with Math=Number Forms; /learn/structure teaches on a wrong pick, highlights first/in addition/for example on a right one and shows the frame; Words tab lists all 4 packs; /math/number-forms generates "3 hundreds 7 tens 9 ones = ?" on a number pad.	localhost:3000, real session	VERIFIED
2026-08-25	C	audit	Chased a suspected flashcard flip bug to ground: NOT a defect. My clicks were landing on the speaker button, whose wrapper calls stopPropagation. Tapping the card elsewhere flips it correctly.	screenshot + coordinate click at (260,360)	VERIFIED
2026-08-25	C	U12	Parent: no fake rewarding, no progressing without 90% write/use. Per-step passPct: spell 90, use 90, match/listen 70, challenge 80 (which also kills the old 70-vs-80 split where the map showed the chest won but the ceremony never fired).	lib/types.ts, route stepCompleted, ItemRunner CHEST_PCT	VERIFIED
2026-08-25	C	U13	"Known" was two-thirds self-rated: the flashcard Easy tap grew the SRS interval AND wrote a recognize streak. Both removed. Spacing is now objective — a right answer before the word is due keeps the streak, so streak 3 means three recalls in three separate windows.	lib/mastery.ts + 3 new tests	VERIFIED
2026-08-25	C	U14	Ungraded steps stop claiming a score: flashcards said "Words learned! 10 of 10 felt easy" at 100% for self-rating. Now "Cards done! You went through 10 cards" with no score tile, and no confetti for a self-report.	live: XP and TIME tiles only	VERIFIED
2026-08-25	E	gates	234 tests pass, tsc clean, eslint 5 = unchanged baseline, build compiles.	npm test / tsc / eslint / build	VERIFIED
